Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_16_38695658.V2,64.589,2.636,0.016844572240413996
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_9_38695658.V2,34.823,1.392,0.008045655404947453
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_13_38695658.V2,78.155,3.646,0.017929794746827165
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_6_38695658.V2,48.289,1.233,0.007017413625812079
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_19_38695658.V2,92.807,5.107,0.02544011022575643
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_15_38695658.V2,28.724,1.261,0.006160513548968957
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_10_38695658.V2,120.654,4.874,0.0499738995851719
24602,South El Monte Earthquake of 18 Sep 2020,GM_Z_48_1_38695658.V2,29.756,1.026,0.005735978893865562
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_3_38695658.V2,29.406,0.969,0.0035061057492309054
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_5_38695658.V2,108.498,4.485,0.04128360752927034
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_4_38695658.V2,32.941,0.996,0.0034926506064739153
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_2_38695658.V2,88.978,3.16,0.018147665111519048
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_17_38695658.V2,12.964,0.945,0.003518612018267204
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_20_38695658.V2,30.662,1.908,0.0087963171645638
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_12_38695658.V2,21.718,1.006,0.006279062492134959
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_11_38695658.V2,26.099,1.189,0.006515837809454734
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_18_38695658.V2,29.216,1.277,0.005580993200462102
24602,South El Monte Earthquake of 18 Sep 2020,GM_X_48_8_38695658.V2,143.608,5.681,0.06807228696178597
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_14_38695658.V2,16.104,1.077,0.003554077480400774
24602,South El Monte Earthquake of 18 Sep 2020,GM_Y_48_7_38695658.V2,47.349,1.416,0.0075372480388378
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_10_15481673.V2,27.33,3.095,0.02230202727852993
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_6_15481673.V2,15.001,2.046,0.004379558248438242
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_19_15481673.V2,46.944,6.466,0.09025438273167134
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_15_15481673.V2,17.38,2.451,0.014219247697110237
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_3_15481673.V2,14.502,1.536,0.0027212961485182678
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_5_15481673.V2,21.657,1.573,0.006447447663218844
24602,La Habra Earthquake of 28 Mar 2014,GM_Z_48_1_15481673.V2,9.673,0.519,0.0014550733209974024
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_16_15481673.V2,25.755,2.599,0.017150514977527974
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_9_15481673.V2,20.946,2.736,0.021157171689028007
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_13_15481673.V2,23.791,3.69,0.02204947328509368
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_18_15481673.V2,16.658,2.483,0.010449933480924043
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_11_15481673.V2,18.462,2.479,0.013507710612954062
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_14_15481673.V2,17.668,2.938,0.018544041867844824
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_7_15481673.V2,13.568,2.019,0.00462726057327482
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_8_15481673.V2,30.85,3.038,0.026107524684076483
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_4_15481673.V2,13.311,1.57,0.002525866839787892
24602,La Habra Earthquake of 28 Mar 2014,GM_X_48_2_15481673.V2,13.5,1.348,0.004062533083628878
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_17_15481673.V2,14.281,2.753,0.014261866782159459
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_20_15481673.V2,38.209,4.452,0.054167163884013124
24602,La Habra Earthquake of 28 Mar 2014,GM_Y_48_12_15481673.V2,16.923,2.283,0.010531559742098599
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_13_14383980.V2,53.068,3.834,0.05220534320848576
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_16_14383980.V2,76.253,4.973,0.07721263577597964
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_9_14383980.V2,114.317,9.618,0.13302668141407503
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_3_14383980.V2,60.857,5.201,0.020994951249854846
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_5_14383980.V2,49.501,3.354,0.025267155286085054
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Z_48_1_14383980.V2,24.761,1.269,0.006664911544824698
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_10_14383980.V2,60.093,4.227,0.07810140636208346
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_6_14383980.V2,89.723,8.161,0.048422088554760184
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_19_14383980.V2,118.616,7.707,0.2562538179505737
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_15_14383980.V2,103.617,8.174,0.11710934589364477
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_20_14383980.V2,257.388,19.064,0.42889573356413085
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_12_14383980.V2,113.596,9.237,0.13664541893049542
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_4_14383980.V2,61.846,5.67,0.0221939016755416
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_2_14383980.V2,25.717,2.429,0.01125134415290376
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_17_14383980.V2,94.353,6.907,0.08745587455612634
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_14_14383980.V2,101.332,7.975,0.10273644407177254
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_7_14383980.V2,91.228,8.244,0.05149145731712523
24602,Chino Hills Earthquake of 29 Jul 2008,GM_X_48_8_14383980.V2,67.414,3.836,0.08225803574877588
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_18_14383980.V2,94.567,7.037,0.1080507601836226
